timestamp, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/30 12:50:12.940, 7.03 W, [N/A], 217 MHz, 405 MHz, 49, 0 %, 19 %, 819 MiB, 8151 MiB
2026/08/30 12:50:13.449, 7.87 W, [N/A], 217 MHz, 405 MHz, 49, 1 %, 20 %, 819 MiB, 8151 MiB
2026/08/30 12:50:13.951, 9.02 W, [N/A], 232 MHz, 405 MHz, 50, 4 %, 23 %, 819 MiB, 8151 MiB
2026/08/30 12:50:14.456, 7.60 W, [N/A], 307 MHz, 405 MHz, 49, 1 %, 23 %, 819 MiB, 8151 MiB
2026/08/30 12:50:14.966, 6.95 W, [N/A], 502 MHz, 405 MHz, 49, 1 %, 22 %, 818 MiB, 8151 MiB
2026/08/30 12:50:15.471, 9.33 W, [N/A], 270 MHz, 405 MHz, 50, 15 %, 28 %, 818 MiB, 8151 MiB
2026/08/30 12:50:15.974, 7.35 W, [N/A], 322 MHz, 405 MHz, 49, 0 %, 22 %, 818 MiB, 8151 MiB
2026/08/30 12:50:16.478, 7.19 W, [N/A], 262 MHz, 405 MHz, 49, 0 %, 25 %, 816 MiB, 8151 MiB
2026/08/30 12:50:16.981, 7.08 W, [N/A], 210 MHz, 405 MHz, 49, 0 %, 34 %, 816 MiB, 8151 MiB
2026/08/30 12:50:17.484, 6.79 W, [N/A], 217 MHz, 405 MHz, 49, 0 %, 24 %, 816 MiB, 8151 MiB
2026/08/30 12:50:17.988, 7.15 W, [N/A], 217 MHz, 405 MHz, 50, 0 %, 28 %, 816 MiB, 8151 MiB
2026/08/30 12:50:18.491, 6.91 W, [N/A], 247 MHz, 405 MHz, 50, 0 %, 29 %, 813 MiB, 8151 MiB
2026/08/30 12:50:18.994, 7.01 W, [N/A], 217 MHz, 405 MHz, 50, 0 %, 22 %, 813 MiB, 8151 MiB
2026/08/30 12:50:19.498, 7.07 W, [N/A], 217 MHz, 405 MHz, 50, 0 %, 29 %, 813 MiB, 8151 MiB
2026/08/30 12:50:20.000, 7.10 W, [N/A], 217 MHz, 405 MHz, 50, 0 %, 27 %, 813 MiB, 8151 MiB
2026/08/30 12:50:20.503, 7.16 W, [N/A], 232 MHz, 405 MHz, 50, 0 %, 22 %, 812 MiB, 8151 MiB
2026/08/30 12:50:21.006, 7.13 W, [N/A], 217 MHz, 405 MHz, 50, 1 %, 26 %, 812 MiB, 8151 MiB
2026/08/30 12:50:21.509, 7.13 W, [N/A], 232 MHz, 405 MHz, 50, 0 %, 26 %, 812 MiB, 8151 MiB
2026/08/30 12:50:22.012, 7.15 W, [N/A], 217 MHz, 405 MHz, 50, 1 %, 26 %, 812 MiB, 8151 MiB
2026/08/30 12:50:22.516, 7.13 W, [N/A], 217 MHz, 405 MHz, 50, 0 %, 26 %, 812 MiB, 8151 MiB
2026/08/30 12:50:23.018, 7.14 W, [N/A], 225 MHz, 405 MHz, 50, 1 %, 26 %, 812 MiB, 8151 MiB
2026/08/30 12:50:23.520, 7.13 W, [N/A], 232 MHz, 405 MHz, 50, 0 %, 26 %, 812 MiB, 8151 MiB
2026/08/30 12:50:24.023, 7.43 W, [N/A], 187 MHz, 405 MHz, 50, 6 %, 27 %, 812 MiB, 8151 MiB
2026/08/30 12:50:24.525, 7.48 W, [N/A], 217 MHz, 405 MHz, 50, 0 %, 25 %, 812 MiB, 8151 MiB
2026/08/30 12:50:25.029, 7.64 W, [N/A], 217 MHz, 405 MHz, 50, 0 %, 27 %, 812 MiB, 8151 MiB
2026/08/30 12:50:25.544, 7.77 W, [N/A], 225 MHz, 405 MHz, 50, 0 %, 25 %, 812 MiB, 8151 MiB
2026/08/30 12:50:26.047, 7.04 W, [N/A], 232 MHz, 405 MHz, 50, 1 %, 27 %, 812 MiB, 8151 MiB
2026/08/30 12:50:26.551, 7.36 W, [N/A], 217 MHz, 405 MHz, 50, 0 %, 26 %, 812 MiB, 8151 MiB
2026/08/30 12:50:27.054, 6.84 W, [N/A], 217 MHz, 405 MHz, 50, 0 %, 27 %, 812 MiB, 8151 MiB
2026/08/30 12:50:27.557, 6.95 W, [N/A], 217 MHz, 405 MHz, 50, 0 %, 26 %, 812 MiB, 8151 MiB
2026/08/30 12:50:28.060, 7.20 W, [N/A], 210 MHz, 405 MHz, 50, 1 %, 26 %, 812 MiB, 8151 MiB
2026/08/30 12:50:28.563, 7.24 W, [N/A], 202 MHz, 405 MHz, 50, 1 %, 26 %, 812 MiB, 8151 MiB
2026/08/30 12:50:29.067, 7.61 W, [N/A], 180 MHz, 405 MHz, 50, 5 %, 30 %, 814 MiB, 8151 MiB
2026/08/30 12:50:29.570, 7.69 W, [N/A], 210 MHz, 405 MHz, 51, 2 %, 30 %, 814 MiB, 8151 MiB
2026/08/30 12:50:30.074, 7.61 W, [N/A], 180 MHz, 405 MHz, 51, 2 %, 26 %, 814 MiB, 8151 MiB
2026/08/30 12:50:30.577, 7.28 W, [N/A], 180 MHz, 405 MHz, 50, 1 %, 27 %, 814 MiB, 8151 MiB
2026/08/30 12:50:31.081, 7.55 W, [N/A], 180 MHz, 405 MHz, 50, 6 %, 28 %, 823 MiB, 8151 MiB
2026/08/30 12:50:31.584, 7.96 W, [N/A], 510 MHz, 405 MHz, 50, 1 %, 28 %, 823 MiB, 8151 MiB
2026/08/30 12:50:32.087, 10.35 W, [N/A], 247 MHz, 405 MHz, 51, 36 %, 42 %, 823 MiB, 8151 MiB
2026/08/30 12:50:32.590, 11.64 W, [N/A], 915 MHz, 9001 MHz, 51, 4 %, 17 %, 823 MiB, 8151 MiB
2026/08/30 12:50:33.092, 10.70 W, [N/A], 487 MHz, 9001 MHz, 51, 0 %, 1 %, 823 MiB, 8151 MiB
2026/08/30 12:50:33.594, 10.50 W, [N/A], 232 MHz, 9001 MHz, 51, 1 %, 1 %, 823 MiB, 8151 MiB
2026/08/30 12:50:34.097, 9.70 W, [N/A], 210 MHz, 9001 MHz, 51, 0 %, 1 %, 823 MiB, 8151 MiB
2026/08/30 12:50:34.600, 9.66 W, [N/A], 337 MHz, 9001 MHz, 51, 0 %, 1 %, 843 MiB, 8151 MiB
