timestamp,model,gpu,dtype,backend,runner,flashinfer_sampler,prefix_caching,batch_size,input_tokens_per_request,output_tokens_per_request,average_ttft_ms,average_tpot_ms,average_request_latency_s,average_queue_time_ms,max_queue_time_ms,average_batch_wall_latency_s,average_aggregate_output_throughput_tok_s
2026-08-30T12:31:16,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,1,15,128,24.625,11.071,1.431,0.009,0.01,1.432,89.69
2026-08-30T12:31:24,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,2,15,128,22.971,10.536,1.361,0.014,0.06,1.372,186.66
2026-08-30T12:31:33,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,4,15,128,22.656,10.627,1.372,0.014,0.042,1.383,370.24
2026-08-30T12:31:41,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,8,15,128,26.39,10.776,1.395,0.017,0.034,1.407,727.62
2026-08-30T12:36:35,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,1,15,128,24.277,10.718,1.385,0.02,0.063,1.387,92.27
2026-08-30T12:36:46,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,2,15,128,22.795,10.528,1.36,0.01,0.013,1.371,186.74
2026-08-30T12:36:58,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,4,15,128,22.646,10.63,1.373,0.012,0.025,1.384,370.01
2026-08-30T12:37:09,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,8,15,128,27.023,10.818,1.401,0.018,0.103,1.413,724.96
2026-08-30T12:41:53,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,16,15,128,44.884,11.327,1.483,0.018,0.04,1.494,1371.04
2026-08-30T12:42:06,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,32,15,128,64.149,12.113,1.602,0.052,0.156,1.631,2512.03
2026-08-30T12:42:21,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,64,15,128,79.05,13.787,1.83,0.06,0.331,1.89,4334.65
2026-08-30T12:42:45,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,128,15,128,156.017,22.31,2.989,0.102,0.297,3.064,5347.19
2026-08-30T12:43:32,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,256,15,128,249.182,42.395,5.633,0.12,0.443,5.79,5659.32
2026-08-30T12:51:09,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,1,15,128,29.692,12.775,1.652,0.012,0.018,1.654,77.39
2026-08-30T12:51:22,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,2,15,128,27.786,12.965,1.674,0.015,0.053,1.686,152.01
2026-08-30T12:51:35,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NVIDIA GeForce RTX 5060 Laptop GPU,bfloat16,vllm,v1,False,False,4,15,128,27.464,12.806,1.654,0.012,0.023,1.666,307.39
