tokens,hidden_size,round,order,cuda_latency_us,triton_latency_us,cuda_over_triton,max_abs_diff_cuda_vs_triton
512,1536,1,cuda->triton,11.2301,9.425,1.19153,0.0009765625
512,1536,2,triton->cuda,11.1693,8.7088,1.28253,0.0009765625
512,1536,3,cuda->triton,10.7712,8.2262,1.30937,0.0009765625
512,1536,4,triton->cuda,11.0934,9.3859,1.18192,0.0009765625
512,1536,5,cuda->triton,12.2717,7.8067,1.57194,0.0009765625
512,1536,6,triton->cuda,9.6029,7.3325,1.30964,0.0009765625
512,1536,7,cuda->triton,9.0998,7.919,1.14911,0.0009765625
512,1536,8,triton->cuda,9.5661,8.3347,1.14774,0.0009765625
512,1536,9,cuda->triton,9.7693,8.3347,1.17212,0.0009765625
512,1536,10,triton->cuda,9.1235,8.3578,1.09162,0.0009765625
512,1536,11,cuda->triton,9.6448,7.6064,1.26798,0.0009765625
512,1536,12,triton->cuda,11.9606,8.4896,1.40886,0.0009765625
512,1536,13,cuda->triton,11.0365,7.6586,1.44106,0.0009765625
512,1536,14,triton->cuda,11.9379,8.3373,1.43187,0.0009765625
512,1536,15,cuda->triton,11.4346,7.5546,1.5136,0.0009765625
512,1536,16,triton->cuda,11.8979,7.9962,1.48795,0.0009765625
512,1536,17,cuda->triton,10.9917,7.767,1.41517,0.0009765625
512,1536,18,triton->cuda,12.2406,8.4451,1.44943,0.0009765625
512,1536,19,cuda->triton,11.5946,8.2122,1.41188,0.0009765625
512,1536,20,triton->cuda,11.4736,8.089,1.41843,0.0009765625
2048,1536,1,cuda->triton,33.8931,19.5741,1.73153,0.015625
2048,1536,2,triton->cuda,33.9072,20.8998,1.62237,0.015625
2048,1536,3,cuda->triton,34.2467,21.4243,1.5985,0.015625
2048,1536,4,triton->cuda,34.2506,19.6003,1.74745,0.015625
2048,1536,5,cuda->triton,34.6602,23.6438,1.46593,0.015625
2048,1536,6,triton->cuda,37.5789,21.7043,1.7314,0.015625
2048,1536,7,cuda->triton,37.4378,24.3206,1.53934,0.015625
2048,1536,8,triton->cuda,37.1946,24.0736,1.54504,0.015625
2048,1536,9,cuda->triton,38.2758,22.1238,1.73007,0.015625
2048,1536,10,triton->cuda,38.0867,23.3123,1.63376,0.015625
2048,1536,11,cuda->triton,38.168,22.6131,1.68787,0.015625
2048,1536,12,triton->cuda,37.7056,23.5792,1.5991,0.015625
2048,1536,13,cuda->triton,37.8493,22.6813,1.66875,0.015625
2048,1536,14,triton->cuda,37.7302,25.5709,1.47552,0.015625
2048,1536,15,cuda->triton,37.8403,22.8688,1.65467,0.015625
2048,1536,16,triton->cuda,37.8032,25.5203,1.4813,0.015625
2048,1536,17,cuda->triton,37.8486,23.2333,1.62907,0.015625
2048,1536,18,triton->cuda,37.7094,24.0038,1.57098,0.015625
2048,1536,19,cuda->triton,37.7424,22.9546,1.64422,0.015625
2048,1536,20,triton->cuda,37.7933,25.1309,1.50386,0.015625
